,week_number,death_yn,cdc_case_earliest_dt,cdc_report_dt,year,month,year_month,week_range
107,2021-01-05,Yes,2021-01-05,18524,2021,1,2021-01,2021-01-05 to 2021-01-11
108,2021-01-12,No,2021-01-12,334632,2021,1,2021-01,2021-01-12 to 2021-01-18
109,2021-01-12,Yes,2021-01-12,15172,2021,1,2021-01,2021-01-12 to 2021-01-18
110,2021-01-19,No,2021-01-19,284408,2021,1,2021-01,2021-01-19 to 2021-01-25
111,2021-01-19,Yes,2021-01-19,11661,2021,1,2021-01,2021-01-19 to 2021-01-25
112,2021-01-26,No,2021-01-26,272234,2021,1,2021-01,2021-01-26 to 2021-02-01
113,2021-01-26,Yes,2021-01-26,9264,2021,1,2021-01,2021-01-26 to 2021-02-01
114,2021-02-02,No,2021-02-02,201586,2021,2,2021-02,2021-02-02 to 2021-02-08
115,2021-02-02,Yes,2021-02-02,6789,2021,2,2021-02,2021-02-02 to 2021-02-08
116,2021-02-09,No,2021-02-09,176550,2021,2,2021-02,2021-02-09 to 2021-02-15
117,2021-02-09,Yes,2021-02-09,4798,2021,2,2021-02,2021-02-09 to 2021-02-15
118,2021-02-16,No,2021-02-16,142484,2021,2,2021-02,2021-02-16 to 2021-02-22
119,2021-02-16,Yes,2021-02-16,3866,2021,2,2021-02,2021-02-16 to 2021-02-22
120,2021-02-23,No,2021-02-23,140437,2021,2,2021-02,2021-02-23 to 2021-03-01
121,2021-02-23,Yes,2021-02-23,3367,2021,2,2021-02,2021-02-23 to 2021-03-01
122,2021-03-02,No,2021-03-02,136749,2021,3,2021-03,2021-03-02 to 2021-03-08
123,2021-03-02,Yes,2021-03-02,2828,2021,3,2021-03,2021-03-02 to 2021-03-08
124,2021-03-09,No,2021-03-09,133202,2021,3,2021-03,2021-03-09 to 2021-03-15
125,2021-03-09,Yes,2021-03-09,2817,2021,3,2021-03,2021-03-09 to 2021-03-15
126,2021-03-16,No,2021-03-16,147227,2021,3,2021-03,2021-03-16 to 2021-03-22
127,2021-03-16,Yes,2021-03-16,2793,2021,3,2021-03,2021-03-16 to 2021-03-22
128,2021-03-23,No,2021-03-23,159178,2021,3,2021-03,2021-03-23 to 2021-03-29
129,2021-03-23,Yes,2021-03-23,2980,2021,3,2021-03,2021-03-23 to 2021-03-29
130,2021-03-30,No,2021-03-30,159503,2021,3,2021-03,2021-03-30 to 2021-04-05
131,2021-03-30,Yes,2021-03-30,3230,2021,3,2021-03,2021-03-30 to 2021-04-05
132,2021-04-06,No,2021-04-06,163783,2021,4,2021-04,2021-04-06 to 2021-04-12
133,2021-04-06,Yes,2021-04-06,3436,2021,4,2021-04,2021-04-06 to 2021-04-12
134,2021-04-13,No,2021-04-13,155789,2021,4,2021-04,2021-04-13 to 2021-04-19
135,2021-04-13,Yes,2021-04-13,3378,2021,4,2021-04,2021-04-13 to 2021-04-19
136,2021-04-20,No,2021-04-20,121976,2021,4,2021-04,2021-04-20 to 2021-04-26
137,2021-04-20,Yes,2021-04-20,2975,2021,4,2021-04,2021-04-20 to 2021-04-26
138,2021-04-27,No,2021-04-27,107770,2021,4,2021-04,2021-04-27 to 2021-05-03
139,2021-04-27,Yes,2021-04-27,2729,2021,4,2021-04,2021-04-27 to 2021-05-03
140,2021-05-04,No,2021-05-04,90468,2021,5,2021-05,2021-05-04 to 2021-05-10
141,2021-05-04,Yes,2021-05-04,2259,2021,5,2021-05,2021-05-04 to 2021-05-10
142,2021-05-11,No,2021-05-11,66488,2021,5,2021-05,2021-05-11 to 2021-05-17
143,2021-05-11,Yes,2021-05-11,1861,2021,5,2021-05,2021-05-11 to 2021-05-17
144,2021-05-18,No,2021-05-18,51837,2021,5,2021-05,2021-05-18 to 2021-05-24
145,2021-05-18,Yes,2021-05-18,1465,2021,5,2021-05,2021-05-18 to 2021-05-24
146,2021-05-25,No,2021-05-25,37690,2021,5,2021-05,2021-05-25 to 2021-05-31
147,2021-05-25,Yes,2021-05-25,1101,2021,5,2021-05,2021-05-25 to 2021-05-31
148,2021-06-01,No,2021-06-01,33594,2021,6,2021-06,2021-06-01 to 2021-06-07
149,2021-06-01,Yes,2021-06-01,1086,2021,6,2021-06,2021-06-01 to 2021-06-07
150,2021-06-08,No,2021-06-08,33256,2021,6,2021-06,2021-06-08 to 2021-06-14
151,2021-06-08,Yes,2021-06-08,977,2021,6,2021-06,2021-06-08 to 2021-06-14
152,2021-06-15,No,2021-06-15,34691,2021,6,2021-06,2021-06-15 to 2021-06-21
153,2021-06-15,Yes,2021-06-15,1009,2021,6,2021-06,2021-06-15 to 2021-06-21
154,2021-06-22,No,2021-06-22,44930,2021,6,2021-06,2021-06-22 to 2021-06-28
155,2021-06-22,Yes,2021-06-22,1513,2021,6,2021-06,2021-06-22 to 2021-06-28
156,2021-06-29,No,2021-06-29,66149,2021,6,2021-06,2021-06-29 to 2021-07-05
157,2021-06-29,Yes,2021-06-29,2712,2021,6,2021-06,2021-06-29 to 2021-07-05
158,2021-07-06,No,2021-07-06,58928,2021,7,2021-07,2021-07-06 to 2021-07-12
159,2021-07-06,Yes,2021-07-06,2500,2021,7,2021-07,2021-07-06 to 2021-07-12
160,2021-07-13,No,2021-07-13,86652,2021,7,2021-07,2021-07-13 to 2021-07-19
161,2021-07-13,Yes,2021-07-13,3689,2021,7,2021-07,2021-07-13 to 2021-07-19
162,2021-07-20,No,2021-07-20,126165,2021,7,2021-07,2021-07-20 to 2021-07-26
163,2021-07-20,Yes,2021-07-20,5839,2021,7,2021-07,2021-07-20 to 2021-07-26
164,2021-07-27,No,2021-07-27,169795,2021,7,2021-07,2021-07-27 to 2021-08-02
165,2021-07-27,Yes,2021-07-27,8130,2021,7,2021-07,2021-07-27 to 2021-08-02
166,2021-08-03,No,2021-08-03,194651,2021,8,2021-08,2021-08-03 to 2021-08-09
167,2021-08-03,Yes,2021-08-03,9844,2021,8,2021-08,2021-08-03 to 2021-08-09
168,2021-08-10,No,2021-08-10,222697,2021,8,2021-08,2021-08-10 to 2021-08-16
169,2021-08-10,Yes,2021-08-10,10991,2021,8,2021-08,2021-08-10 to 2021-08-16
170,2021-08-17,No,2021-08-17,250411,2021,8,2021-08,2021-08-17 to 2021-08-23
171,2021-08-17,Yes,2021-08-17,10864,2021,8,2021-08,2021-08-17 to 2021-08-23
172,2021-08-24,No,2021-08-24,258353,2021,8,2021-08,2021-08-24 to 2021-08-30
173,2021-08-24,Yes,2021-08-24,10233,2021,8,2021-08,2021-08-24 to 2021-08-30
174,2021-08-31,No,2021-08-31,245046,2021,8,2021-08,2021-08-31 to 2021-09-06
175,2021-08-31,Yes,2021-08-31,9866,2021,8,2021-08,2021-08-31 to 2021-09-06
176,2021-09-07,No,2021-09-07,261775,2021,9,2021-09,2021-09-07 to 2021-09-13
177,2021-09-07,Yes,2021-09-07,9377,2021,9,2021-09,2021-09-07 to 2021-09-13
178,2021-09-14,No,2021-09-14,241961,2021,9,2021-09,2021-09-14 to 2021-09-20
179,2021-09-14,Yes,2021-09-14,8107,2021,9,2021-09,2021-09-14 to 2021-09-20
180,2021-09-21,No,2021-09-21,218919,2021,9,2021-09,2021-09-21 to 2021-09-27
181,2021-09-21,Yes,2021-09-21,7144,2021,9,2021-09,2021-09-21 to 2021-09-27
182,2021-09-28,No,2021-09-28,189277,2021,9,2021-09,2021-09-28 to 2021-10-04
